%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
205432000000,3020,205404000000,map,3.004209407398586,-5.020730576253992,0.1153450922939831
205536000000,3021,205468000000,map,2.999723395052088,-5.101307432765904,0.09706040675257283
205628000000,3022,205536000000,map,2.9989218446823442,-5.122269745505025,0.09433255669031337
205668000000,3023,205604000000,map,2.9983060667697896,-5.145528492064354,0.09318354834951365
205744000000,3024,205668000000,map,2.9977980843559537,-5.166247296924007,0.09325627256839503
205820000000,3025,205736000000,map,2.997475501702572,-5.186155463750639,0.0926455456045136
205920000000,3026,205804000000,map,2.9971484674253066,-5.208013296307389,0.09441440908510296
205952000000,3027,205868000000,map,2.9969325487660683,-5.227098126339748,0.09576015310391917
206036000000,3028,205936000000,map,2.9967805707468202,-5.247645413411161,0.09366692242246566
206084000000,3029,206004000000,map,2.9965863149355325,-5.268547808298191,0.09217294321287367
206128000000,3030,206068000000,map,3.0001511942930583,-5.228984532198419,0.11075478904056202
206204000000,3031,206136000000,map,2.9999728065358386,-5.2479371156554135,0.10850294213347661
206292000000,3032,206204000000,map,2.993280611207419,-5.330768007925702,0.08986911131470421
206352000000,3033,206268000000,map,2.9929424244526954,-5.351415526220584,0.08799630261795949
206424000000,3034,206336000000,map,2.9925676595535142,-5.373229292069347,0.08412269557549334
206476000000,3035,206404000000,map,2.9960277897600704,-5.335132748861761,0.10293395422465912
206524000000,3036,206468000000,map,2.995726206872992,-5.35664812451761,0.10364364548869309
206596000000,3037,206536000000,map,2.9955254453221736,-5.373606887849349,0.10666132702742348
206672000000,3038,206604000000,map,2.9950882822911145,-5.392414629486165,0.10681234581761173
206744000000,3039,206668000000,map,2.988153596799865,-5.4708651745593215,0.0854294753093906
206808000000,3040,206736000000,map,2.9914573233210526,-5.429268795897228,0.10252043951313744
206868000000,3041,206804000000,map,2.9903957257693055,-5.454144250187018,0.1009081928680301
206952000000,3042,206868000000,map,2.989625185555135,-5.47087123147122,0.09908138654665899
206996000000,3043,206936000000,map,2.988878917744492,-5.489648489970869,0.09878435545439779
207068000000,3044,207004000000,map,2.9852422136986734,-5.5094590991124885,0.09741007929823103
207144000000,3045,207068000000,map,2.984301253360099,-5.531180720875626,0.09645562525533802
207212000000,3046,207136000000,map,2.9836268935074695,-5.548269512726561,0.09361049429968127
207296000000,3047,207204000000,map,2.9800375854222723,-5.567341189500118,0.09352802911877
207352000000,3048,207268000000,map,2.979393056998446,-5.585509920643862,0.09246621458013304
207444000000,3049,207336000000,map,2.9823140485891706,-5.549367345964404,0.10946594331661635
207508000000,3050,207404000000,map,2.9742476544865073,-5.622620896117103,0.09067726003007437
207508000000,3051,207468000000,map,2.976769950090371,-5.587465095097104,0.1072801880339595
207592000000,3052,207536000000,map,2.975459891302494,-5.602725779342196,0.10556853791263104
207684000000,3053,207604000000,map,2.9706310853143454,-5.622529372624568,0.10284842299732927
207740000000,3054,207668000000,map,2.9687736313364055,-5.641209499870061,0.09899134371741647
207832000000,3055,207736000000,map,2.964167089406076,-5.659487495856082,0.09702994746718069
207880000000,3056,207804000000,map,2.9618508013476963,-5.677918166503368,0.09675662914146332
207940000000,3057,207868000000,map,2.9571720268727133,-5.69576863868326,0.09548425436275909
208004000000,3058,207936000000,map,2.955214878002807,-5.711202646132863,0.09502887144394889
208036000000,3059,208004000000,map,2.950150253402957,-5.7257167093665995,0.09502236905843037
208108000000,3060,208068000000,map,2.947610636556226,-5.740499477481765,0.09409304309026739
208212000000,3061,208136000000,map,2.9420975613672997,-5.754556955964683,0.0917832790139777
208264000000,3062,208204000000,map,2.9381817652814686,-5.769988306114791,0.08945674063654613
208312000000,3063,208268000000,map,2.940040905931602,-5.734687318688662,0.10599557678137361
208420000000,3064,208336000000,map,2.928788871473942,-5.798753957557926,0.08544269739396226
208500000000,3065,208404000000,map,2.930053983374355,-5.766068784906658,0.10098356817200116
208544000000,3066,208468000000,map,2.9178589279607863,-5.832297383996236,0.08000479191320597
208576000000,3067,208536000000,map,2.920269347613943,-5.796997179575042,0.09358861726962064
208676000000,3068,208604000000,map,2.913121959737822,-5.812996600283643,0.09344280370150987
